elapsed_seconds,throughput_tflops,telemetry
211.89158082008362,20.30690393763254,"['2026/09/22 22:52:27.297', ' 0', ' 49', ' 29.51', ' 585', ' 5000']"
216.9360375404358,20.228659399823517,"['2026/09/22 22:52:32.338', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
221.9800055027008,20.258882523687472,"['2026/09/22 22:52:37.383', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
227.02994108200073,20.06670265263903,"['2026/09/22 22:52:42.432', ' 0', ' 49', ' 43.13', ' 585', ' 5000']"
232.07456493377686,20.224242033499884,"['2026/09/22 22:52:47.477', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
237.11665105819702,19.93423761451851,"['2026/09/22 22:52:52.522', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
242.15917301177979,20.161021465193787,"['2026/09/22 22:52:57.564', ' 0', ' 49', ' 41.48', ' 585', ' 5000']"
247.20657515525818,20.187694324623806,"['2026/09/22 22:53:02.607', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
252.2481987476349,20.21576692854348,"['2026/09/22 22:53:07.654', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
257.29156732559204,20.26415755317175,"['2026/09/22 22:53:12.695', ' 4', ' 49', ' 34.83', ' 585', ' 5000']"
262.3387362957001,19.714155969499107,"['2026/09/22 22:53:17.743', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
267.3846800327301,20.24703418178185,"['2026/09/22 22:53:22.786', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
272.42775535583496,20.16949215962724,"['2026/09/22 22:53:27.832', ' 0', ' 49', ' 30.80', ' 585', ' 5000']"
277.4700584411621,20.186920419725734,"['2026/09/22 22:53:32.875', ' 0', ' 49', ' 37.55', ' 585', ' 5000']"
282.5129063129425,20.25757165989181,"['2026/09/22 22:53:37.917', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
287.5587956905365,20.27232343237096,"['2026/09/22 22:53:42.960', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
292.5999412536621,20.261343464211492,"['2026/09/22 22:53:48.006', ' 0', ' 49', ' 39.53', ' 585', ' 5000']"
297.6454336643219,20.307618055660573,"['2026/09/22 22:53:53.047', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
302.6870074272156,20.07281906863276,"['2026/09/22 22:53:58.093', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
307.7341272830963,20.04537568321184,"['2026/09/22 22:54:03.136', ' 0', ' 49', ' 32.67', ' 585', ' 5000']"
312.775671005249,20.282659768854984,"['2026/09/22 22:54:08.181', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
